NaN,NaN,-78,-90,NaN,-94,NaN,NaN,-93,NaN,NaN,NaN,2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
NaN,NaN,-80,-80,NaN,-90,NaN,NaN,NaN,NaN,NaN,NaN,2
NaN,-92,-85,-76,-90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
NaN,-87,NaN,-78,NaN,-82,NaN,NaN,NaN,NaN,NaN,NaN,2
-89,NaN,-78,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
NaN,NaN,-89,-79,-84,-86,NaN,-92,NaN,NaN,NaN,NaN,2
NaN,NaN,-76,-91,-91,-79,-94,-90,NaN,NaN,NaN,NaN,2
NaN,NaN,-78,-79,-87,-84,NaN,-95,NaN,NaN,NaN,NaN,2
NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-85,NaN,-86,-81,-86,NaN,-92,-92,NaN,NaN,NaN,NaN,2
NaN,NaN,NaN,NaN,-76,-77,NaN,NaN,NaN,NaN,NaN,NaN,3
NaN,-92,-88,-84,-77,NaN,-90,NaN,NaN,NaN,NaN,NaN,3
NaN,NaN,NaN,NaN,-80,-91,NaN,NaN,NaN,NaN,NaN,NaN,3
NaN,-91,-86,-89,-73,-89,-86,NaN,NaN,NaN,NaN,NaN,3
NaN,NaN,-89,NaN,-77,-86,-91,NaN,NaN,NaN,NaN,NaN,3
-86,-88,-86,-82,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
NaN,NaN,-83,-89,-88,-87,-93,NaN,NaN,NaN,NaN,NaN,3
-89,NaN,-84,NaN,-89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
NaN,NaN,NaN,NaN,-83,-80,-89,NaN,NaN,NaN,NaN,NaN,3
NaN,NaN,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-86,-94,-91,NaN,-90,-80,-88,NaN,NaN,NaN,NaN,NaN,3
NaN,NaN,NaN,-91,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
NaN,NaN,-89,-95,-93,-79,NaN,NaN,NaN,NaN,NaN,NaN,3
NaN,-87,-89,NaN,NaN,NaN,NaN,-89,NaN,NaN,NaN,NaN,3
NaN,NaN,-82,-85,-87,-83,-90,NaN,NaN,NaN,NaN,NaN,3
NaN,NaN,-89,-94,-81,-84,NaN,-93,NaN,NaN,NaN,NaN,3
-92,NaN,-84,NaN,-76,-90,-91,NaN,NaN,NaN,NaN,NaN,3
NaN,-91,-88,-89,-77,-92,NaN,NaN,NaN,NaN,NaN,NaN,3
NaN,NaN,-87,NaN,NaN,-84,-90,-93,NaN,NaN,NaN,NaN,3
-89,-90,NaN,-83,-79,-84,NaN,NaN,NaN,NaN,NaN,NaN,3
-97,NaN,NaN,-92,NaN,NaN,-90,-80,-89,NaN,NaN,-91,4
-92,NaN,NaN,NaN,NaN,NaN,NaN,-62,NaN,NaN,NaN,NaN,4
-92,NaN,NaN,NaN,NaN,NaN,-86,NaN,NaN,NaN,NaN,NaN,4
-87,-100,NaN,NaN,NaN,NaN,-75,-81,-77,NaN,NaN,-93,4
NaN,NaN,NaN,-96,NaN,NaN,-80,NaN,-79,NaN,NaN,-93,4
-85,NaN,NaN,NaN,NaN,NaN,-82,NaN,NaN,NaN,NaN,NaN,4
NaN,NaN,NaN,NaN,NaN,NaN,-87,-84,-74,NaN,NaN,NaN,4
-92,-89,NaN,NaN,NaN,NaN,-75,-81,-85,NaN,NaN,NaN,4
NaN,-92,NaN,-93,NaN,NaN,-86,-83,-76,NaN,NaN,NaN,4
NaN,NaN,NaN,NaN,NaN,NaN,-83,-80,-80,NaN,NaN,NaN,4
NaN,NaN,NaN,NaN,NaN,NaN,-89,-85,-75,NaN,NaN,-93,4
-92,-98,NaN,NaN,NaN,NaN,-88,-76,NaN,NaN,NaN,NaN,4
NaN,NaN,NaN,NaN,NaN,NaN,-88,-75,-93,NaN,NaN,NaN,4
-86,NaN,NaN,NaN,NaN,NaN,-81,-77,-87,NaN,NaN,NaN,4
-92,-88,NaN,NaN,NaN,NaN,-77,-84,-85,NaN,NaN,NaN,4
-92,NaN,NaN,NaN,NaN,NaN,-87,-62,-89,NaN,NaN,NaN,4
NaN,-95,NaN,NaN,NaN,NaN,-89,-64,-86,NaN,NaN,NaN,4
NaN,-93,-93,-91,NaN,-96,-91,-89,-84,-94,-95,-95,4
-90,-81,NaN,-85,NaN,NaN,-75,NaN,-84,NaN,-89,-78,4
NaN,NaN,NaN,NaN,NaN,NaN,-83,-81,-82,NaN,NaN,-91,4
NaN,NaN,NaN,NaN,NaN,-92,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,-93,NaN,-85,NaN,-78,NaN,NaN,-90,-79,-84,-89,0
NaN,-81,NaN,-85,-94,-91,NaN,NaN,-91,NaN,-89,-78,0
NaN,NaN,NaN,-93,-80,-76,NaN,NaN,-86,-83,-90,NaN,0
NaN,-89,-96,-77,-86,-85,NaN,NaN,-84,-81,NaN,NaN,0
NaN,-87,NaN,NaN,-91,-78,NaN,NaN,NaN,-79,-93,NaN,0
NaN,NaN,-87,-93,-89,-81,NaN,NaN,NaN,-84,-87,NaN,0
NaN,NaN,-94,-94,-92,-82,NaN,NaN,-88,-82,-92,NaN,0
NaN,-86,-90,-78,NaN,-87,NaN,NaN,-94,NaN,-78,NaN,0
NaN,-87,-95,-79,-87,-81,NaN,NaN,NaN,-94,NaN,NaN,0
NaN,NaN,-94,NaN,-84,-83,NaN,NaN,NaN,-85,-88,NaN,0
NaN,NaN,NaN,NaN,NaN,-92,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,-87,-91,-81,NaN,NaN,-86,-77,-88,NaN,0
NaN,NaN,NaN,-95,-90,-92,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,-98,-94,-88,NaN,NaN,-90,-92,NaN,NaN,0
NaN,-93,NaN,NaN,-81,-88,NaN,NaN,-89,-88,-92,NaN,0
NaN,-86,NaN,-89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,-97,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,-98,-94,NaN,NaN,NaN,-90,-92,NaN,NaN,0
NaN,NaN,NaN,-83,NaN,-88,NaN,NaN,NaN,-86,-91,NaN,0
