NaN,-85,-84,-85,-88,-89,NaN,-94,NaN,NaN,NaN,NaN,1
NaN,NaN,-82,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,-82,-86,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,NaN,-84,-91,NaN,NaN,-99,-92,NaN,NaN,NaN,NaN,1
NaN,NaN,-84,-91,NaN,NaN,-99,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,-85,-92,-82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,-83,-84,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-87,-86,-84,-91,-87,-93,NaN,-93,NaN,NaN,NaN,NaN,1
-87,-86,-84,-91,-83,-93,NaN,-93,NaN,NaN,NaN,-98,1
NaN,-86,-84,NaN,-83,NaN,NaN,-93,NaN,NaN,NaN,-98,1
NaN,NaN,-84,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,-82,NaN,NaN,-86,-95,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,-86,NaN,-85,-84,-95,NaN,NaN,NaN,NaN,NaN,NaN,1
-88,-86,NaN,-85,-84,NaN,NaN,NaN,NaN,NaN,NaN,-94,1
-88,-86,NaN,NaN,-82,NaN,NaN,-91,NaN,NaN,NaN,-94,1
NaN,NaN,NaN,NaN,-82,NaN,NaN,-91,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,-82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,-85,NaN,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,-86,-85,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,-86,-84,-92,-82,NaN,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,NaN,-84,-92,-82,NaN,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,-82,NaN,NaN,NaN,NaN,NaN,NaN,-94,1
NaN,NaN,-83,NaN,-82,NaN,NaN,-92,NaN,NaN,NaN,-94,1
NaN,NaN,-83,NaN,-82,NaN,NaN,-94,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,-94,NaN,NaN,NaN,NaN,1
NaN,-85,NaN,-84,-82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,-85,NaN,-84,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,-86,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,-86,NaN,NaN,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
